Date (GMT +11);PHWorkshopAir2
06 Jun 2022 13:42:26;31.50,point {  fill-color: #F05323; }
06 Jun 2022 13:52:33;31.50,point {  fill-color: #F05323; }
06 Jun 2022 13:32:18;31.50,point {  fill-color: #F05323; }
06 Jun 2022 13:22:11;31.50,point {  fill-color: #F05323; }
06 Jun 2022 13:12:04;31.50,point {  fill-color: #F05323; }
06 Jun 2022 13:01:57;31.50,point {  fill-color: #F05323; }
06 Jun 2022 12:51:50;31.50,point {  fill-color: #F05323; }
06 Jun 2022 12:41:43;31.50,point {  fill-color: #F05323; }
06 Jun 2022 12:31:36;31.50,point {  fill-color: #F05323; }
06 Jun 2022 12:21:28;31.50,point {  fill-color: #F05323; }
06 Jun 2022 12:11:21;31.50,point {  fill-color: #F05323; }
06 Jun 2022 12:01:14;31.50,point {  fill-color: #F05323; }
06 Jun 2022 11:51:07;31.50,point {  fill-color: #F05323; }
06 Jun 2022 11:41:00;31.50,point {  fill-color: #F05323; }
06 Jun 2022 11:30:52;31.50,point {  fill-color: #F05323; }
06 Jun 2022 11:20:45;31.50,point {  fill-color: #F05323; }
06 Jun 2022 11:10:38;31.50,point {  fill-color: #F05323; }
06 Jun 2022 11:00:31;31.50,point {  fill-color: #F05323; }
06 Jun 2022 10:50:23;31.50,point {  fill-color: #F05323; }
06 Jun 2022 10:40:16;31.50,point {  fill-color: #F05323; }
06 Jun 2022 10:30:09;31.50,point {  fill-color: #F05323; }
06 Jun 2022 10:20:02;31.50,point {  fill-color: #F05323; }
06 Jun 2022 10:09:55;31.50,point {  fill-color: #F05323; }
06 Jun 2022 09:59:48;31.50,point {  fill-color: #F05323; }
06 Jun 2022 09:49:40;31.50,point {  fill-color: #F05323; }
06 Jun 2022 09:39:33;31.50,point {  fill-color: #F05323; }
06 Jun 2022 09:29:26;31.50,point {  fill-color: #F05323; }
06 Jun 2022 09:19:19;31.50,point {  fill-color: #F05323; }
06 Jun 2022 09:09:12;31.50,point {  fill-color: #F05323; }
06 Jun 2022 08:59:05;31.50,point {  fill-color: #F05323; }

